url,price,address,bedrooms,bathrooms,living_area_sqft,latitude,longitude
https://www.zillow.com/apartments/austin-tx/diplomat-west-campus/5YyGvN/,"$1,350/mo","Diplomat West Campus, Austin, TX 78705",1,1.0,600,30.284517,-97.7478947
https://www.zillow.com/apartments/austin-tx/casa-del-rio-apartments/CkBV8j/,"$1,199/mo","Casa Del Rio Apartments, Austin, TX 78705",1,1.0,644,30.2921842,-97.7268215
https://www.zillow.com/apartments/austin-tx/braeburn/5XtQ6Y/,"$1,300/mo","Braeburn, Austin, TX 78705",1,1.0,"1,300",30.298721,-97.7343464
https://www.zillow.com/apartments/austin-tx/karnes-house/5Xht7k/,$1350/mo,"Karnes House, Austin, TX 78705",2,2.0,"1,000",30.399089,-97.692487
https://www.zillow.com/b/texan-shoal-creek-austin-tx-5XjfMS/,"$1,500/mo","Texan Shoal Creek Austin, Tx, 5XJFMS",1,1.0,650,30.2899928,-97.7497932
https://www.zillow.com/apartments/austin-tx/2500-longview-st/BrGY9v/,"$2,700/mo","2500 Longview St, Austin, TX 78705",2,2.0,"1,107",30.289784,-97.750829
https://www.zillow.com/b/centennial-condo-austin-tx-CkCcG5/,"$1,795/mo","Centennial Condo, Austin, TX 78705",2,1.0,824,30.450181,-97.819136
https://www.zillow.com/homedetails/3208-Harris-Park-Ave-Austin-TX-78705/29398348_zpid/,"$3,000/mo","3208 Harris Park Ave, Austin, TX 78705",2,1.0,"1,350",30.293691,-97.7308885
https://www.zillow.com/b/201-east-35th-street-austin-tx-5gqy5T/,"$4,200/mo","201 East 35Th Street, Austin, TX 78705",4,3.0,"1,500",30.2987955,-97.7336981
https://www.zillow.com/b/georgian-condominiums-austin-tx-65XfcR/,"$1,900/mo","Georgian Condominiums Austin, Tx, 65XFCR",2,2.0,800,30.188863,-97.897908
https://www.zillow.com/b/3016-guadalupe-st-austin-tx-5XjfM6/,"$1,395/mo","3016 Guadalupe St, Austin, TX 78705",1,1.0,757,30.2975602,-97.7417129
https://www.zillow.com/homedetails/807-W-25th-St-APT-210-Austin-TX-78705/29394133_zpid/,"$2,100/mo","807 W 25Th St Apt 210, Austin, TX 78705",2,2.0,925,30.28905,-97.746443
https://www.zillow.com/homedetails/3305-Hampton-Rd-B-Austin-TX-78705/2094591190_zpid/,"$2,850/mo","3305 Hampton Rd B, Austin, TX 78705",3,1.0,"1,000",30.292969,-97.727253
https://www.zillow.com/apartments/austin-tx/windtree-condominiums/5XjfKq/,"$1,875/mo","Windtree Condominiums, Austin, TX 78705",2,2.0,820,30.378691,-97.694832
https://www.zillow.com/homedetails/503-Texas-Ave-Austin-TX-78705/2088158300_zpid/,"$2,295/mo","503 Texas Ave, Austin, TX 78705",2,1.0,"1,128",30.297464,-97.73021
https://www.zillow.com/b/910-duncan-ln-austin-tx-5XjfL4/,"$1,075/mo","910 Duncan Ln, Austin, TX 78705",1,1.0,588,30.2922649,-97.7247564
https://www.zillow.com/homedetails/304-E-34th-St-Austin-TX-78705/29398181_zpid/,"$1,875/mo","304 E 34Th St, Austin, TX 78705",2,2.0,900,30.2976957,-97.7328264
